id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
3234,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on mentor, experiment, course, practice, reflection, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",75,71,59,83,63,pass
3235,Stress handling,fresher,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on plan, escalate, breaks, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",81,98,88,93,80,pass
3236,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on plan, prioritize, calm, escalate, breaks, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",67,44,54,80,55,fail
3237,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on course, reflection, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",92,90,93,61,83,pass
3238,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned review, accuracy, checklist and learned that I should communicate earlier. The experience improved my confidence.",38,53,16,44,44,fail
3239,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on reflection, feedback, course, practice, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",33,48,33,49,46,fail
3240,Attention to detail,junior_professional,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on edge cases, documentation, checklist, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",68,68,51,80,65,fail
3241,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used escalate, calm, prioritize, plan, breaks, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",86,97,72,89,92,pass
3242,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on prioritize, breaks, plan, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",71,86,84,76,81,pass
3243,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a sprint review, I tried to help but my answer was not very structured. I mentioned edge cases, documentation, review, accuracy, quality and learned that I should communicate earlier. I shared the learning with others.",53,55,47,60,56,fail
